Designator,Mid X,Mid Y,Rotation,Layer
BT1,111.143,-132.715,0.0,bottom
C1,117.7671,-109.1688,90.0,bottom
C2,100.3173,-101.8028,270.0,bottom
C3,144.8943,-111.5818,270.0,bottom
C4,139.9413,-115.8998,270.0,bottom
C5,170.7515,-108.0004,270.0,bottom
C6,156.4513,-102.4378,180.0,bottom
C7,149.6441,-109.6006,90.0,bottom
C8,161.7853,-106.7558,270.0,bottom
D1,108.2879,-100.1518,0.0,bottom
D2,118.5087,-100.1518,180.0,bottom
D3,171.8183,-101.2948,180.0,bottom
D4,141.4399,-105.4858,180.0,bottom
D5,171.8183,-97.2308,180.0,bottom
IC1,97.5233,-103.9618,90.0,bottom
IC2,129.413,-119.2022,90.0,bottom
IC3,167.9575,-108.3814,90.0,bottom
IC4,138.9253,-111.2008,270.0,bottom
J1,112.2553,-108.1528,180.0,bottom
J2,117.729,-115.311,180.0,bottom
J3,132.0673,-99.8978,90.0,top
J4,103.7413,-110.0578,270.0,bottom
J5,172.6819,-118.8462,90.0,bottom
J6,184.06,-139.69,180.0,bottom
J7,111.08,-139.7,180.0,bottom
L1,129.4003,-110.3118,90.0,bottom
Q1,97.5233,-110.0578,0.0,bottom
R1,119.3927,-107.3908,270.0,bottom
R10,164.9095,-111.6072,270.0,bottom
R11,142.1003,-114.6298,270.0,bottom
R12,164.9095,-108.0004,90.0,bottom
R13,198.1073,-101.5723,90.0,bottom
R14,200.9013,-101.5488,270.0,bottom
R15,132.9436,-120.2436,180.0,bottom
R16,166.2303,-97.2308,180.0,bottom
R2,97.7773,-100.9138,180.0,bottom
R3,104.6353,-105.8668,270.0,bottom
R4,107.5563,-105.8668,270.0,bottom
R5,96.6343,-107.1368,180.0,bottom
R6,172.4533,-111.404,180.0,bottom
R7,142.1003,-110.9468,270.0,bottom
R8,136.6266,-120.2436,0.0,bottom
R9,169.7863,-112.3184,270.0,bottom
U1,195.6743,-116.22405,180.0,bottom
U2,155.0543,-108.0258,270.0,bottom
